fabnr,naam,adres,plaats
121,Kantoor                       ,Joubertstraat 2               ,Den Haag                      
122,Popke                         ,Popkenstraat 7                ,GrONingen                     
123,Broese                        ,Biltstraat 41                 ,Utrecht                       
124,Office                        ,Rijnkade 12                   ,Utrecht                       
451,Webster                       ,Damrak 64                     ,Amsterdam                     
452,Vermeulen                     ,Lange Poten 42                ,Den Haag                      
453,Ahrend                        ,Utrechtseweg 87               ,Amersfoort                    
454,Hagemeyer                     ,Berkenweg 12                  ,Amersfoort                    
455,Office                        ,Het Spui 12                   ,Amsterdam                     
456,Buhrmann                      ,Taagdreef 56                  ,Utrecht                       
